,place_id,place_name,reviewer_name,reviewer_rating,reviewer_review,reviewers_Id
0,ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,Suzanna Kejairi,5,Monkey Forest is the perfect attraction for all ages and a respite from the heat. You can spend a long time watching the monkeys play with each other. The park itself is beautiful. There are amazingly detailed statues everywhere. The monkeys are great just follow the rules. Don't make eye contact and carry your belongings tight. There are many ancient banyan trees. You may only need a couple hours at most to see everything. Definitely a place to see if you're in Ubud.,1934
1,ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,K Baz,1,"Would not do this again. The monkey forest is not a sanctuary. It is a tourist trap designed for people to indulge in exploitative photo opportunities with monkeys.

These beautiful animals deserve better. We saw a Chinese tourist exiting one of the First Aid centres on his way to hospital after being bitten as well as two young girls foolishly holding a water bottle being chased by a monkey. Signs clearly state no water bottles. They also state ""no feeding monkeys"", yet the staff use food to get monkeys to sit and climb on tourists for pictures. This has conditioned the monkeys to climb on people.

We kept our distance. All of my pictures were taken with a zoom lens and we kept moving, Staying still had you surrounded by monkeys who do not understand the difference between someone sitting down to rest and someone paying to have a picture taken by using food as an incentive.

Beautiful Forest but not entirely comfortable with monkeys being used as props. I love monkeys but they are wild and deserve respect 🐒  I felt very sad for these monkeys and at times nervous for my safety 🐒 🙈

Edit update: the responses to poor reviews by the owner are a clear picture of what you get when you visit.",1108
2,ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,Aneka Truman,5,"Wonderful experience. A nice place to explore.

The temples and statues are interesting to see, alongside the main attraction, the monkeys!

We visited on a Saturday afternoon at 4PM. I thought it might be busy with tourists, but it wasn’t too bad. As time went on the place became quieter.

We walked around the whole complex and saw so many monkeys. Incredible. We had no issues with the monkeys. After reading reviews I didn’t take any loose items (water, sunglasses, jewellery); we were not bothered by them. I carried my phone and my husband had a bum bag.

We kept our distance from the monkeys and respected them in their habitat. Read and follow the rules and you’ll have a great time. 🙏 Such a lovely place, suitable for the whole family.",215
3,ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,Denise F,5,"I thought the experience was Unforgettable. The grounds are impeccable, the staff friendly and knowledgeable. The monkeys of course are a joy. They appear to be well taken care of, well fed, and photographed frequently. I loved that if I asked a staff member a question they answered it without hesitation and you could tell that a relationship develops between certain staff and certain monkeys. I saw the show in the theater which was well made as well. I went on a Sunday and it was my understanding the tickets were supposed to be 80k, but when I arrived we were told that on weekends or Sundays the tickets are 100k. I thought that the experience was worth it and would do it again.",531
4,ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,Abigail Lorenzana,4,It was a good experience! The monkeys are “free” Be cautious and follow the rules because they bite. Avoid bringing shiny things or valuables like jewelry. They also like plastic bottles and food so don’t bring any with you if you don’t want to be mobbed. There are ramps for wheelchairs but not everywhere. I appreciate how some of the walkways in the edges of the stairs are painted bright yellow for safety precautions. It is also well maintained. There are many cleaners. And there are “guards” who have slingshots in case the monkeys try to do anything naughty. You can have pictures with monkeys just ask help from the “guards” around. Do not approach baby monkeys because mothers are protective. Make sure you get a map from the information center especially if you easily get lost. I hope there are more lights in the tunnel next time.,52
5,ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Christian Hansen,4,"I have to mention, that most of this place was closed due to the G20 summit, so my review is only based on the things that were open at the time.

It's a really pretty park, with some nice surroundings. The monument or statue itself is great and all, and they have some nice explanations in the ground floor, regarding the statue and how it was built.

We couldn't go up the statue, and we couldn't see a lot of the other statues, due to the summit. Overall it was fine, but I think the price was too high in our case.",456
6,ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Mudita YAdav,3,"It is a very beautiful and aesthetic places to visit. But the cost of the ticket is a little steep. Also when we get inside the campus, there is a ticket. There is also a show and a museum for which we will have to pay extra bucks if we want to watch it. They should give this inclusive at the entrance or atleast inform about the same. Apart from that there is very beautiful and scenic. It is very well maintained and clean.",1390
7,ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Ivy Land,5,"This is the first time I went to GWK, I was thinking the place is only that big statue that we can see, but I found amazing place and good made..

The place was amazing with incredible Bali dances at their theatre, but the museum was small and only 2 kinds of traditional places, Java and Balinese you can see there.

Overall that was amazing and great to be there.. But when I was there, they're under construction so they said I couldn't go up to see Bali from the statue.. They said they will be finished on Dec.",1008
8,ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Rahul Bura,4,"Pretty iconic destination for Bali, you can see the Statue anywhere from the south beaches. Even from Canggu! Had to go visit and only managed to get there in the evening so got to see it later at night. It's half price after 7pm so that worked out. Got some pics taken in the Art Museum and walked around the grounds to explore the sculptures. There was a free drink with the ticket which isn't all that, it's just an excuse to get you to the restaurant. Having said that, the restaurant was pretty cool and night time views were great. Didn't eat there unfortunately but might try if I do go again. Overall a tourist destination, not really a holy site so just an FYI.",1623
9,ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Mario Christianto,4,"It's a nice sized cultural park, with a lot of wide open spaces. You will initially go to the designated parking area and there will be a shuttle bus to bring you to the ticketing area (of note, if you come with a driver/guide, they can come in for free, but you still have to pay for the shuttle cost).
The GWK statue is huge! It's a good photo op. Another great thing to check out is the amphitheater, which has multiple dances and musical performances every hour, highly recommended.
There are multiple restaurants and food court on site, the food are just so-so, but that's to be expected in a tourist spot like this.
The restroom is fairly clean, which is nice. There are multiple souvenir shops of you're interested in shopping.",1297
